Country Name,Country Code,1990,*1990,1991,*1991,1992,*1992,1993,*1993,1994,*1994,1995,*1995,1996,*1996,1997,*1997,1998,*1998,1999,*1999,2000,*2000,2001,*2001,2002,*2002,2003,*2003,2004,*2004,2005,*2005,2006,*2006,2007,*2007,2008,*2008,2009,*2009,2010,*2010,2011,*2011,2012,*2012,2013,*2013,2014,*2014,2015,*2015
Belarus,BLR,77800,0.016393198,78786,0.016669873,78786,0.016739361,79279,0.016914616,79772,0.017091344,80265,0.017269564,80758,0.017449295,81251,0.017630557,81744,0.017813368,82237,0.01799775,82730,0.018183721,83056,0.018332138,83382,0.018481809,83708,0.018632748,84034,0.018784973,84360,0.018938501,84556,0.019066265,84752,0.019195162,84948,0.019325206,85144,0.019456413,85340,0.0195888,85539,0.019690941,85738,0.019793671,85937,0.019896994,86136,0.020000918,86335,0.020105446
Panama,PAN,50400,0.010619758,50227,0.01062724,50054,0.010634782,49881,0.010642389,49708,0.010650059,49535,0.010657795,49362,0.010665595,49189,0.010673462,49016,0.010681396,48843,0.010689399,48670,0.01069747,48500,0.01070493,48330,0.010712454,48160,0.01072004,47990,0.010727692,47820,0.010735409,47654,0.01074535,47488,0.010755379,47322,0.010765496,47156,0.010775705,46990,0.010786005,46826,0.01077927,46662,0.010772496,46498,0.010765682,46334,0.010758829,46170,0.010751936
Guatemala,GTM,47480,0.010004487,46940,0.009931762,46400,0.009858431,45860,0.009784486,45320,0.00970992,44780,0.009634724,44240,0.00955889,43700,0.00948241,43160,0.009405277,42620,0.009327481,42080,0.009249015,41540,0.009168718,41000,0.009087743,40460,0.00900608,39920,0.008923723,39380,0.008840661,38948,0.008782261,38516,0.008723344,38084,0.008663902,37652,0.008603928,37220,0.008543416,36856,0.008484192,36492,0.008424626,36128,0.008364716,35764,0.008304458,35400,0.00824385
Nicaragua,NIC,45140,0.009511426,44440,0.009402802,43740,0.009293271,43040,0.009182823,42340,0.009071447,41640,0.008959131,40940,0.008845862,40240,0.008731629,39540,0.008616419,38840,0.00850022,38140,0.008383019,37440,0.008263765,36740,0.008143504,36040,0.008022223,35340,0.007899909,34640,0.007776549,33940,0.007653023,33240,0.007528403,32540,0.007402672,31840,0.007275817,31140,0.007147823,31140,0.007168378,31140,0.007189052,31140,0.007209844,31140,0.007230758,31140,0.007251793
Costa Rica,CRI,25640,0.005402591,25452,0.005385241,25264,0.005367746,25076,0.005350104,24888,0.005332314,24700,0.005314374,24512,0.005296282,24324,0.005278035,24136,0.005259633,23948,0.005241073,23760,0.005222352,23990,0.005295078,24220,0.005368418,24450,0.005442379,24680,0.005516971,24910,0.005592201,25138,0.005668288,25366,0.00574505,25594,0.005822495,25822,0.005900633,26050,0.005979473,26352,0.006066188,26654,0.006153403,26956,0.006241123,27258,0.006329351,27560,0.006418093
Bosnia and Herzegovina,BIH,22100,0.00465668,22050,0.004665432,22050,0.004684879,22025,0.004699156,22000,0.004713553,21975,0.004728072,21950,0.004742713,21925,0.004757479,21900,0.004772372,21875,0.004787392,21850,0.004802542,21850,0.004822737,21850,0.004843102,21850,0.00486364,21850,0.004884352,21850,0.004905242,21850,0.004926887,21850,0.004948724,21850,0.004970756,21850,0.004992984,21850,0.005015412,21850,0.005029835,21850,0.005044341,21850,0.005058931,21850,0.005073605,21850,0.005088365
Cuba,CUB,20580,0.004336401,20957,0.00443417,21334,0.004532754,21711,0.004632163,22088,0.004732407,22465,0.004833499,22842,0.004935447,23219,0.005038263,23596,0.005141958,23973,0.005246544,24350,0.005352032,24874,0.005490195,25398,0.005629524,25922,0.005770035,26446,0.005911743,26970,0.006054663,27440,0.006187359,27910,0.006321231,28380,0.006456295,28850,0.006592567,29320,0.006730063,29856,0.006872803,30392,0.007016367,30928,0.00716076,31464,0.007305991,32000,0.007452068
Belize,BLZ,16160.3,0.003405129,16003.5,0.003386088,15846.8,0.003366909,15690.1,0.00334757,15533.4,0.003328069,15376.6,0.003308381,15219.9,0.003288548,15063.2,0.003268546,14906.5,0.003248373,14749.7,0.003228005,14593,0.003207483,14507.5,0.003202099,14421.9,0.003196647,14336.4,0.003191171,14250.8,0.003185626,14165.3,0.003180056,14115,0.003182747,14064.7,0.003185461,14014.5,0.003188222,13964.2,0.003190985,13913.9,0.003193773,13863.7,0.003191402,13813.5,0.003189016,13763.4,0.00318664,13713.2,0.003184227,13663,0.0031818
Dominican Republic,DOM,11050,0.00232834,11431,0.002418619,11812,0.002509651,12193,0.002601444,12574,0.00269401,12955,0.002787357,13336,0.002881495,13717,0.002976435,14098,0.003072187,14479,0.003168761,14860,0.003266168,15192,0.003353182,15524,0.00344093,15856,0.003529422,16188,0.003618668,16520,0.003708677,16850,0.003799453,17180,0.003891034,17510,0.003983429,17840,0.004076651,18170,0.004170711,18502,0.004259131,18834,0.00434806,19166,0.004437504,19498,0.004527467,19830,0.004617953
Uruguay,URY,7978,0.00168104,8549.9,0.001809024,9121.8,0.001938074,9693.7,0.002068205,10265.6,0.00219943,10837.5,0.002331762,11409.4,0.002465217,11981.3,0.002599808,12553.2,0.00273555,13125.1,0.002872457,13697,0.003010546,14001.2,0.003090348,14305.4,0.003170824,14609.6,0.003251983,14913.8,0.003333833,15218,0.003416383,15637,0.003525938,16056,0.003636463,16475,0.003747972,16894,0.003860479,17313,0.003973997,17540.4,0.004037772,17767.8,0.004101915,17995.2,0.004166429,18222.6,0.004231317,18450,0.004296583
"Bahamas, The",BHS,5150,0.001085154,5150,0.001089659,5150,0.001094201,5150,0.001098781,5150,0.0011034,5150,0.001108058,5150,0.001112755,5150,0.001117492,5150,0.00112227,5150,0.001127089,5150,0.001131949,5150,0.001136709,5150,0.001141509,5150,0.00114635,5150,0.001151232,5150,0.001156156,5150,0.001161257,5150,0.001166404,5150,0.001171597,5150,0.001176836,5150,0.001182122,5150,0.001185522,5150,0.001188941,5150,0.00119238,5150,0.001195838,5150,0.001199317
El Salvador,SLV,3770,0.000794375,3725,0.000788151,3680,0.000781876,3635,0.000775547,3590,0.000769166,3545,0.000762731,3500,0.000756241,3455,0.000749696,3410,0.000743095,3365,0.000736438,3320,0.000729723,3274,0.000722638,3228,0.000715493,3182,0.000708288,3136,0.000701022,3090,0.000693693,3046,0.000686833,3002,0.000679912,2958,0.000672929,2914,0.000665884,2870,0.000658775,2826,0.000650541,2782,0.000642259,2738,0.000633929,2694,0.000625551,2650,0.000617124
Jamaica,JAM,3446,0.000726105,3442.3,0.000728336,3438.6,0.000730586,3434.9,0.000732855,3431.2,0.000735143,3427.5,0.00073745,3423.8,0.000739777,3420.1,0.000742123,3416.4,0.00074449,3412.7,0.000746877,3409,0.000749284,3405.6,0.000751685,3402.2,0.000754105,3398.8,0.000756546,3395.4,0.000759008,3392,0.000761491,3387.8,0.000763904,3383.6,0.000766339,3379.4,0.000768795,3375.2,0.000771273,3371,0.000773774,3367.2,0.000775124,3363.4,0.000776482,3359.6,0.000777848,3355.8,0.000779222,3352,0.000780604
Puerto Rico,PRI,2870,0.000604736,3033.1,0.000641756,3196.2,0.000679084,3359.3,0.000716725,3522.4,0.000754683,3685.5,0.000792961,3848.5,0.000831541,4011.6,0.000870472,4174.7,0.000909736,4337.8,0.000949337,4500.9,0.00098928,4526.5,0.00099909,4552,0.001008961,4577.6,0.001018938,4603.1,0.001028978,4628.7,0.001039126,4661.8,0.001051175,4694.9,0.00106333,4727.9,0.001075571,4761,0.001087945,4794.1,0.00110043,4827.2,0.001111214,4860.3,0.00112206,4893.3,0.001132946,4926.4,0.001143918,4959.5,0.001154954
Trinidad and Tobago,TTO,2407,0.000507178,2399.9,0.000507781,2392.8,0.000508389,2385.7,0.000509002,2378.6,0.000509621,2371.5,0.000510244,2364.4,0.000510873,2357.3,0.000511508,2350.2,0.000512147,2343.1,0.000512793,2336,0.000513443,2328.8,0.000514013,2321.6,0.000514588,2314.4,0.000515167,2307.2,0.000515752,2300,0.000516341,2292.8,0.000516996,2285.6,0.000517657,2278.4,0.000518324,2271.2,0.000518996,2264,0.000519675,2280.2,0.000524898,2296.3,0.000530129,2312.5,0.000535413,2328.6,0.000540705,2344.8,0.00054605
