Country Name,1990,*1990,1991,*1991,1992,*1992,1993,*1993,1994,*1994,1995,*1995,1996,*1996,1997,*1997,1998,*1998,1999,*1999,2000,*2000,2001,*2001,2002,*2002,2003,*2003,2004,*2004,2005,*2005,2006,*2006,2007,*2007,2008,*2008,2009,*2009,2010,*2010,2011,*2011,2012,*2012,2013,*2013,2014,*2014,2015,*2015
Honduras,81360,0.007966379,79616,0.007830155,77872,0.007692719,76128,0.007554053,74384,0.007414142,72640,0.00727297,70896,0.007130517,69152,0.006986768,67408,0.006841705,65664,0.006695308,63920,0.006547561,62720,0.006456473,61520,0.006364477,60320,0.006271561,59120,0.00617771,57920,0.00608291,56720,0.005979567,55520,0.005875434,54320,0.005770501,53120,0.00566476,51920,0.005558201,50720,0.00544275,49520,0.005326743,48320,0.005210178,47120,0.005093051,45920,0.004975356
Belarus,77800,0.007617801,78786,0.007748526,78786,0.00778301,79279,0.007866722,79772,0.007951185,80265,0.008036411,80758,0.008122409,81251,0.00820919,81744,0.008296765,82237,0.008385144,82730,0.008474339,83056,0.008549885,83382,0.008626184,83708,0.008703246,84034,0.008781084,84360,0.008859708,84556,0.008914109,84752,0.008968926,84948,0.009024163,85144,0.009079826,85340,0.009135919,85539,0.009179168,85738,0.009222624,85937,0.009266289,86136,0.009310166,86335,0.009354254
Panama,50400,0.004934925,50227,0.004939776,50054,0.00494467,49881,0.004949608,49708,0.00495459,49535,0.004959617,49362,0.004964689,49189,0.004969808,49016,0.004974973,48843,0.004980186,48670,0.004985447,48500,0.004992649,48330,0.004999922,48160,0.005007267,47990,0.005014687,47820,0.005022182,47654,0.005023806,47488,0.005025443,47322,0.005027092,47156,0.005028754,46990,0.005030429,46826,0.005024886,46662,0.005019316,46498,0.005013718,46334,0.005008094,46170,0.005002443
Guatemala,47480,0.004649013,46940,0.004616503,46400,0.004583703,45860,0.004550611,45320,0.004517221,44780,0.004483529,44240,0.004449533,43700,0.004415227,43160,0.004380607,42620,0.00434567,42080,0.004310409,41540,0.004276178,41000,0.004241605,40460,0.004206687,39920,0.004171417,39380,0.004135791,38948,0.004105997,38516,0.004075976,38084,0.004045725,37652,0.00401524,37220,0.00398452,36856,0.003955008,36492,0.003925354,36128,0.003895557,35764,0.003865617,35400,0.003835531
Nicaragua,45140,0.004419891,44440,0.00437063,43740,0.004320931,43040,0.004270787,42340,0.004220192,41640,0.004169142,40940,0.004117628,40240,0.004065646,39540,0.004013188,38840,0.003960249,38140,0.003906821,37440,0.003854119,36740,0.003800892,36040,0.003747133,35340,0.003692833,34640,0.003637984,33940,0.003578041,33240,0.003517641,32540,0.003456777,31840,0.003395444,31140,0.003333636,31140,0.003341625,31140,0.003349653,31140,0.003357718,31140,0.003365823,31140,0.003373968
Costa Rica,25640,0.002510545,25452,0.002503179,25264,0.002495747,25076,0.002488249,24888,0.002480684,24700,0.00247305,24512,0.002465347,24324,0.002457574,24136,0.00244973,23948,0.002441814,23760,0.002433824,23990,0.00246956,24220,0.002505651,24450,0.002542103,24680,0.002578922,24910,0.002616114,25138,0.002650112,25366,0.002684371,25594,0.002718892,25822,0.002753679,26050,0.002788736,26352,0.002827826,26654,0.002867105,26956,0.002906572,27258,0.00294623,27560,0.00298608
Bosnia and Herzegovina,22100,0.002163926,22050,0.002168596,22050,0.002178247,22025,0.002185504,22000,0.002192826,21975,0.002200214,21950,0.002207668,21925,0.002215191,21900,0.002222783,21875,0.002230444,21850,0.002238176,21850,0.002249265,21850,0.002260465,21850,0.002271777,21850,0.002283203,21850,0.002294744,21850,0.002303483,21850,0.002312288,21850,0.002321161,21850,0.002330102,21850,0.002339112,21850,0.002344718,21850,0.00235035,21850,0.00235601,21850,0.002361697,21850,0.002367411
Cuba,20580,0.002015094,20957,0.0020611,21334,0.002107516,21711,0.002154346,22088,0.002201597,22465,0.002249274,22842,0.002297383,23219,0.00234593,23596,0.002394921,23973,0.002444363,24350,0.00249426,24874,0.00256056,25398,0.002627519,25922,0.002695149,26446,0.002763459,26970,0.00283246,27440,0.002892795,27910,0.002953591,28380,0.003014853,28850,0.003076588,29320,0.003138799,29856,0.003203839,30392,0.003269192,30928,0.003334859,31464,0.003400843,32000,0.003467147
Belize,16160.3,0.001582339,16003.5,0.001573928,15846.8,0.001565453,15690.1,0.001556902,15533.4,0.001548274,15376.6,0.001539559,15219.9,0.001530774,15063.2,0.00152191,14906.5,0.001512964,14749.7,0.001503926,14593,0.001494815,14507.5,0.00149342,14421.9,0.001492,14336.4,0.001490577,14250.8,0.001489129,14165.3,0.001487677,14115,0.001488039,14064.7,0.001488404,14014.5,0.001488783,13964.2,0.001489154,13913.9,0.001489527,13863.7,0.00148771,13813.5,0.001485884,13763.4,0.00148406,13713.2,0.001482216,13663,0.001480363
Dominican Republic,11050,0.001081963,11431,0.001124228,11812,0.001166869,12193,0.001209891,12574,0.001253299,12955,0.0012971,13336,0.001341297,13717,0.001385896,14098,0.001430904,14479,0.001476324,14860,0.001522165,15192,0.001563883,15524,0.001606017,15856,0.001648572,16188,0.001691556,16520,0.001734974,16850,0.00177637,17180,0.001818083,17510,0.001860115,17840,0.001902472,18170,0.001945156,18502,0.001985445,18834,0.002025927,19166,0.002066603,19498,0.002107477,19830,0.002148548
